Feature Configuration, Model, Accuracy, Recall, Precision, F1-Score
5%_Outlier_Reduction_50%_Class_Reduction, Best Gradient Boosted Regression,96.22%,99.07%,87.91%,0.93
10%_Outlier_Reduction_50%_Class_Reduction, Best Gradient Boosted Regression,97.87%,98.79%,93.70%,0.96
15%_Outlier_Reduction_50%_Class_Reduction, Best Gradient Boosted Regression,97.45%,99.06%,92.15%,0.95
20%_Outlier_Reduction_50%_Class_Reduction, Best Gradient Boosted Regression,97.04%,97.94%,91.05%,0.94
25%_Outlier_Reduction_50%_Class_Reduction, Best Gradient Boosted Regression,97.06%,98.72%,91.39%,0.95
5%_Outlier_Reduction_55%_Class_Reduction, Best Gradient Boosted Regression,96.85%,98.87%,91.60%,0.95
10%_Outlier_Reduction_55%_Class_Reduction, Best Gradient Boosted Regression,98.74%,99.40%,96.51%,0.98
15%_Outlier_Reduction_55%_Class_Reduction, Best Gradient Boosted Regression,97.70%,98.74%,93.73%,0.96
20%_Outlier_Reduction_55%_Class_Reduction, Best Gradient Boosted Regression,96.89%,99.69%,90.86%,0.95
25%_Outlier_Reduction_55%_Class_Reduction, Best Gradient Boosted Regression,97.58%,98.91%,92.54%,0.96
5%_Outlier_Reduction_60%_Class_Reduction, Best Gradient Boosted Regression,97.03%,99.06%,91.86%,0.95
10%_Outlier_Reduction_60%_Class_Reduction, Best Gradient Boosted Regression,98.24%,98.68%,95.53%,0.97
15%_Outlier_Reduction_60%_Class_Reduction, Best Gradient Boosted Regression,98.51%,99.38%,96.13%,0.98
20%_Outlier_Reduction_60%_Class_Reduction, Best Gradient Boosted Regression,97.77%,98.75%,94.59%,0.97
25%_Outlier_Reduction_60%_Class_Reduction, Best Gradient Boosted Regression,97.72%,99.02%,94.10%,0.96
5%_Outlier_Reduction_65%_Class_Reduction, Best Gradient Boosted Regression,96.88%,98.80%,92.70%,0.96
10%_Outlier_Reduction_65%_Class_Reduction, Best Gradient Boosted Regression,98.73%,98.84%,97.70%,0.98
15%_Outlier_Reduction_65%_Class_Reduction, Best Gradient Boosted Regression,97.11%,98.46%,93.57%,0.96
20%_Outlier_Reduction_65%_Class_Reduction, Best Gradient Boosted Regression,98.25%,99.08%,96.13%,0.98
25%_Outlier_Reduction_65%_Class_Reduction, Best Gradient Boosted Regression,98.22%,98.72%,96.26%,0.97
5%_Outlier_Reduction_70%_Class_Reduction, Best Gradient Boosted Regression,97.87%,99.70%,94.90%,0.97
10%_Outlier_Reduction_70%_Class_Reduction, Best Gradient Boosted Regression,95.63%,94.75%,93.60%,0.94
15%_Outlier_Reduction_70%_Class_Reduction, Best Gradient Boosted Regression,98.24%,98.45%,96.94%,0.98
20%_Outlier_Reduction_70%_Class_Reduction, Best Gradient Boosted Regression,96.84%,98.34%,93.38%,0.96
25%_Outlier_Reduction_70%_Class_Reduction, Best Gradient Boosted Regression,98.39%,99.00%,96.74%,0.98
5%_Outlier_Reduction_75%_Class_Reduction, Best Gradient Boosted Regression,97.58%,98.77%,95.55%,0.97
10%_Outlier_Reduction_75%_Class_Reduction, Best Gradient Boosted Regression,99.22%,98.40%,99.68%,0.99
15%_Outlier_Reduction_75%_Class_Reduction, Best Gradient Boosted Regression,98.54%,99.40%,97.35%,0.98
20%_Outlier_Reduction_75%_Class_Reduction, Best Gradient Boosted Regression,97.56%,99.05%,95.44%,0.97
25%_Outlier_Reduction_75%_Class_Reduction, Best Gradient Boosted Regression,97.80%,99.38%,95.81%,0.98
