Feature Configuration, Model, Accuracy, Recall, Precision, F1-Score
Pruned_DTC_No_Reduction, Pruned DTC,91.41%,64.00%,80.00%,0.71
Gradient_Boosted_Regressor_No_Reduction, Gradient Boosted Regressor,96.13%,84.29%,91.61%,0.88
50%_Class_Imbalance_Reduction, Decision Tree Classifier,92.11%,84.10%,86.61%,0.85
65%_Class_Imbalance_Reduction, Decision Tree Classifier,91.75%,90.40%,85.38%,0.88
80%_Class_Imbalance_Reduction, Decision Tree Classifier,89.22%,89.36%,87.50%,0.88
5%_Outlier_Reduction, Decision Tree Classifier,95.00%,83.53%,85.06%,0.84
10%_Outlier_Reduction, Decision Tree Classifier,94.42%,83.44%,80.86%,0.82
15%_Outlier_Reduction, Decision Tree Classifier,94.09%,79.61%,81.21%,0.8
5%_Outlier_Reduction_50%_Class_Reduction, Decision Tree Classifier,92.59%,81.42%,89.15%,0.85
10%_Outlier_Reduction_50%_Class_Reduction, Decision Tree Classifier,90.64%,84.59%,81.63%,0.83
15%_Outlier_Reduction_50%_Class_Reduction, Decision Tree Classifier,92.35%,83.44%,87.83%,0.86
20%_Outlier_Reduction_50%_Class_Reduction, Decision Tree Classifier,92.94%,87.63%,85.00%,0.86
25%_Outlier_Reduction_50%_Class_Reduction, Decision Tree Classifier,92.07%,85.26%,86.08%,0.86
5%_Outlier_Reduction_55%_Class_Reduction, Decision Tree Classifier,91.24%,82.44%,88.45%,0.85
10%_Outlier_Reduction_55%_Class_Reduction, Decision Tree Classifier,92.45%,84.43%,89.81%,0.87
15%_Outlier_Reduction_55%_Class_Reduction, Decision Tree Classifier,90.44%,83.02%,84.08%,0.84
20%_Outlier_Reduction_55%_Class_Reduction, Decision Tree Classifier,88.87%,83.70%,80.18%,0.82
25%_Outlier_Reduction_55%_Class_Reduction, Decision Tree Classifier,91.76%,85.14%,84.23%,0.85
5%_Outlier_Reduction_60%_Class_Reduction, Decision Tree Classifier,90.99%,85.58%,85.05%,0.85
10%_Outlier_Reduction_60%_Class_Reduction, Decision Tree Classifier,90.41%,85.15%,82.96%,0.84
15%_Outlier_Reduction_60%_Class_Reduction, Decision Tree Classifier,92.63%,88.62%,88.62%,0.89
20%_Outlier_Reduction_60%_Class_Reduction, Decision Tree Classifier,90.66%,84.95%,86.03%,0.85
25%_Outlier_Reduction_60%_Class_Reduction, Decision Tree Classifier,90.37%,88.56%,82.37%,0.85
5%_Outlier_Reduction_65%_Class_Reduction, Decision Tree Classifier,91.17%,88.02%,86.73%,0.87
10%_Outlier_Reduction_65%_Class_Reduction, Decision Tree Classifier,91.02%,88.66%,86.89%,0.88
15%_Outlier_Reduction_65%_Class_Reduction, Decision Tree Classifier,91.87%,90.15%,86.94%,0.89
20%_Outlier_Reduction_65%_Class_Reduction, Decision Tree Classifier,90.59%,86.50%,87.04%,0.87
25%_Outlier_Reduction_65%_Class_Reduction, Decision Tree Classifier,91.66%,86.26%,89.40%,0.88
5%_Outlier_Reduction_70%_Class_Reduction, Decision Tree Classifier,90.12%,87.80%,86.26%,0.87
10%_Outlier_Reduction_70%_Class_Reduction, Decision Tree Classifier,92.07%,87.96%,90.48%,0.89
15%_Outlier_Reduction_70%_Class_Reduction, Decision Tree Classifier,90.82%,88.51%,87.42%,0.88
20%_Outlier_Reduction_70%_Class_Reduction, Decision Tree Classifier,92.72%,90.70%,89.51%,0.9
25%_Outlier_Reduction_70%_Class_Reduction, Decision Tree Classifier,90.69%,88.33%,86.89%,0.88
5%_Outlier_Reduction_75%_Class_Reduction, Decision Tree Classifier,90.45%,88.65%,88.38%,0.89
10%_Outlier_Reduction_75%_Class_Reduction, Decision Tree Classifier,89.12%,88.14%,85.40%,0.87
15%_Outlier_Reduction_75%_Class_Reduction, Decision Tree Classifier,90.69%,90.06%,88.99%,0.9
20%_Outlier_Reduction_75%_Class_Reduction, Decision Tree Classifier,91.33%,89.91%,89.91%,0.9
25%_Outlier_Reduction_75%_Class_Reduction, Decision Tree Classifier,90.25%,89.75%,88.38%,0.89
BEST GBR: 10%_Outlier_Reduction_70%_Class_Reduction, Best Gradient Boosted Regression,99.20%,98.77%,99.07%,0.99
